Type of House,Property Value,bed,bath,Area (Sqft),Latitude,Longitude,Number_of_Parks_Nearby,Number_of_Malls_Nearby,Number_of_Metros_Nearby,Number_of_Clubs_Nearby,Number_of_Restaurants_Nearby,Number_of_Schools_Nearby,Number_of_Colleges_Nearby,Number_of_Universities_Nearby,Number_of_Buses_Nearby,Number_of_Trains_Nearby,Number_of_Airports_Nearby,Number_of_Museums_Nearby,Number_of_Libraries_Nearby,Number_of_Grocery_stores_Nearby,borough,Zip Code,total lot size(sqft),Distance_to_Nearest_Parks_miles_binned,Distance_to_Nearest_Malls_miles_binned,Distance_to_Nearest_Metros_miles_binned,Distance_to_Nearest_Clubs_miles_binned,Distance_to_Nearest_Restaurants_miles_binned,Distance_to_Nearest_Schools_miles_binned,Distance_to_Nearest_Colleges_miles_binned,Distance_to_Nearest_Universities_miles_binned,Distance_to_Nearest_Buses_miles_binned,Distance_to_Nearest_Trains_miles_binned,Distance_to_Nearest_Airports_miles_binned,Distance_to_Nearest_Museums_miles_binned,Distance_to_Nearest_Libraries_miles_binned,Distance_to_Nearest_Grocery_stores_miles_binned,Precinct,Safety_Score
Co-op for sale,795000.0,1,1,720.0,40.7485444,-73.9773641,17,3,130,41,3416,179,13,21,1588,137,1,45,26,214,Manhattan,10016,13780.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Co-op for sale,795000.0,1,1,720.0,40.7485444,-73.9773641,17,3,130,41,3418,179,13,21,1593,137,1,45,26,215,Manhattan,10016,13780.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Co-op for sale,799000.0,1,1,720.0,40.7344937,-73.9862705,22,3,147,40,3227,195,15,23,1516,160,1,46,28,211,Manhattan,10003,740.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,9.0,62.766447838413015
Co-op for sale,799000.0,1,1,720.0,40.7344937,-73.9862705,22,3,147,40,3229,195,15,23,1521,160,1,46,28,212,Manhattan,10003,740.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,9.0,62.766447838413015
Co-op for sale,750000.0,1,1,450.0,40.7485444,-73.9773641,17,3,130,41,3416,179,13,21,1588,137,1,45,26,214,Manhattan,10016,13780.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Co-op for sale,750000.0,1,1,450.0,40.7485444,-73.9773641,17,3,130,41,3418,179,13,21,1593,137,1,45,26,215,Manhattan,10016,13780.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Co-op for sale,535000.0,1,1,750.0,40.7996534,-73.97021,17,1,69,8,1385,199,7,4,1143,73,0,19,21,123,Manhattan,10025,800.0,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,24.0,69.5065204120069
Co-op for sale,535000.0,1,1,750.0,40.7996534,-73.97021,17,1,69,8,1386,199,7,4,1143,73,0,19,21,124,Manhattan,10025,800.0,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,24.0,69.5065204120069
Multi-family home for sale,735000.0,6,4,2669.0,40.6050885,-73.7595762,3,0,8,0,53,10,0,0,157,16,0,1,1,6,Queens,11691,2663.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,2–3 miles,0–1 miles,101.0,75.10102633709577
Condo for sale,6550000.0,2,2,1676.0,40.7691094,-73.98162,15,3,105,27,2688,171,13,21,1499,113,1,30,25,185,Manhattan,10019,1676.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,18.0,45.17588226889556
Multi-family home for sale,1100000.0,9,3,3120.0,40.6823821,-73.8760553,24,1,63,15,498,78,0,0,1530,68,0,1,4,72,Brooklyn,11208,2452.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,3–4 miles,1–2 miles,0–1 miles,75.0,0.0
Multi-family home for sale,1100000.0,9,3,3120.0,40.6823821,-73.8760553,24,1,63,15,497,77,0,0,1530,68,0,1,4,72,Brooklyn,11208,2452.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,3–4 miles,1–2 miles,0–1 miles,75.0,0.0
Co-op for sale,5500000.0,3,3,2899.0,40.767785,-73.9681416,16,3,112,34,2779,182,13,21,1580,120,1,29,23,202,Manhattan,10065,10018.8,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,5500000.0,3,3,2899.0,40.767785,-73.9681416,16,3,112,34,2781,182,13,21,1585,120,1,29,23,203,Manhattan,10065,10018.8,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,399900.0,2,2,1250.0,40.88954,-73.9152547,32,1,34,1,142,92,0,0,456,45,0,3,6,43,Bronx,10463,1250.0,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,50.0,69.5065204120069
Co-op for sale,399900.0,2,2,1250.0,40.88954,-73.9152547,32,1,34,1,143,92,0,0,456,45,0,3,6,43,Bronx,10463,1250.0,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,50.0,69.5065204120069
Multi-family home for sale,849000.0,7,3,2820.0,40.6443109,-73.9073178,24,0,49,2,143,73,0,0,1342,50,1,2,3,36,Brooklyn,11236,1292.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,1–2 miles,0–1 miles,69.0,75.10102633709577
Contingent,699000.0,3,2.5,1032.0,40.5383847,-74.1644212,1,0,8,0,93,3,0,0,220,8,0,1,0,9,Staten Island,10312,4000.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,2–3 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,123.0,85.32013501928847
Multi-family home for sale,816000.0,4,2.5,2194.0,40.5441257,-74.1788408,1,0,8,0,100,6,0,0,231,8,0,1,0,9,Staten Island,10312,4000.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,2–3 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,123.0,85.32013501928847
Condo for sale,1595000.0,2,2,1134.0,40.7463283,-73.972718,18,3,134,42,3461,193,13,21,1597,141,1,45,26,223,Manhattan,10016,1134.0,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Condo for sale,1595000.0,2,2,1134.0,40.7463283,-73.972718,18,3,134,42,3463,193,13,21,1602,141,1,45,26,224,Manhattan,10016,1134.0,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Condo for sale,3570000.0,2,2.5,1419.0,40.7163709,-74.003384,19,2,126,36,2857,167,11,20,1277,141,1,43,17,181,Manhattan,10013,1419.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,1.0,55.3387983997714
Condo for sale,895000.0,1,1,618.0,40.7138396,-73.9419407,24,0,109,37,2167,173,8,10,1808,114,1,18,10,221,Brooklyn,11211,618.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,2–3 miles,0–1 miles,90.0,62.766447838413015
Condo for sale,6668000.0,6,7.5+,6425.0,40.7617561,-73.9719035,15,3,119,40,3086,174,12,21,1585,126,1,34,25,209,Manhattan,10022,8255.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Condo for sale,6668000.0,6,7.5+,6425.0,40.7617561,-73.9719035,15,3,119,40,3088,174,12,21,1590,126,1,34,25,210,Manhattan,10022,8255.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Condo for sale,795000.0,Studio,1,429.0,40.7068533,-73.9683664,26,2,147,45,2782,200,13,15,1664,151,1,41,15,214,Brooklyn,11249,429.0,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,90.0,62.766447838413015
Condo for sale,795000.0,Studio,1,429.0,40.7068533,-73.9683664,26,2,147,45,2782,200,13,15,1669,151,1,41,15,214,Brooklyn,11249,429.0,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,90.0,62.766447838413015
Multi-family home for sale,1000000.0,7,3,2440.0,40.77033,-73.933656,16,1,94,22,2061,171,7,6,1572,99,0,18,19,191,Queens,11102,2614.0,1–2 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,114.0,35.425132161737395
Condo for sale,1150000.0,Studio,1,412.0,40.764066,-73.9783129,16,3,113,35,2915,173,12,21,1547,120,1,34,25,196,Manhattan,10019,412.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,18.0,45.17588226889556
Condo for sale,1150000.0,Studio,1,412.0,40.764066,-73.9783129,16,3,113,35,2917,173,12,21,1552,120,1,34,25,197,Manhattan,10019,412.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,18.0,45.17588226889556
House for sale,6668000.0,Studio,1,600.0,40.800769,-73.937393,31,0,75,9,1148,231,5,3,1280,78,0,21,14,136,Manhattan,10035,1667.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,25.0,55.3387983997714
House for sale,6668000.0,Studio,1,600.0,40.800769,-73.937393,31,0,75,9,1148,231,5,3,1280,78,0,21,14,137,Manhattan,10035,1667.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,25.0,55.3387983997714
House for sale,899990.0,3,3,1764.0,40.610281,-74.1356718,4,0,3,1,157,19,0,1,519,4,0,8,1,21,Staten Island,10314,4000.0,1–2 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,122.0,69.5065204120069
House for sale,899990.0,3,3,1764.0,40.610281,-74.1356718,4,0,3,1,161,19,0,1,519,4,0,8,1,23,Staten Island,10314,4000.0,1–2 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,122.0,69.5065204120069
Contingent,889000.0,4,2,1968.0,40.5316133,-74.2026108,1,0,9,0,114,4,0,0,203,9,0,1,0,10,Staten Island,10309,5432.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,123.0,85.32013501928847
House for sale,779000.0,4,3,1360.0,40.6281091,-74.1155392,1,0,4,1,155,23,1,1,568,7,0,8,0,20,Staten Island,10310,7954.0,2–3 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,1–2 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,120.0,55.3387983997714
House for sale,779000.0,4,3,1360.0,40.6281091,-74.1155392,1,0,4,1,159,23,1,1,568,7,0,8,0,21,Staten Island,10310,7954.0,2–3 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,1–2 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,120.0,55.3387983997714
Contingent,995000.0,4,3,1938.0,40.60136,-74.1247989,4,0,4,1,173,19,0,1,583,4,0,5,1,25,Staten Island,10314,5680.0,1–2 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,1–2 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,122.0,69.5065204120069
Contingent,995000.0,4,3,1938.0,40.60136,-74.1247989,4,0,4,1,177,19,0,1,583,4,0,5,1,27,Staten Island,10314,5680.0,1–2 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,1–2 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,122.0,69.5065204120069
Townhouse for sale,6668000.0,4,7.5+,6425.0,40.7164065,-74.0101344,17,2,119,33,2642,161,11,20,1238,133,1,42,16,171,Manhattan,10013,10582.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,1.0,55.3387983997714
Co-op for sale,599000.0,3,3,1549.5,40.7768173,-73.9615575,15,2,100,21,2318,184,10,11,1486,106,1,25,23,190,Manhattan,10075,12632.4,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Townhouse for sale,1489000.0,4,2.5,2015.0,40.6230399,-74.0318599,2,0,36,0,380,36,1,0,863,36,0,2,2,64,Brooklyn,11209,2015.0,0–1 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,68.0,69.5065204120069
House for sale,729900.0,4,2,1200.0,40.5406081,-74.2073175,2,0,9,0,110,12,0,0,203,9,0,1,0,10,Staten Island,10309,5000.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,123.0,85.32013501928847
House for sale,300000.0,3,2,1125.0,40.6940714,-73.746401,17,0,3,4,151,29,0,0,1064,13,0,0,2,50,Queens,11412,6277.0,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,113.0,55.3387983997714
House for sale,300000.0,3,2,1125.0,40.6940714,-73.746401,17,0,3,4,149,29,0,0,1064,13,0,0,2,50,Queens,11412,6277.0,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,113.0,55.3387983997714
House for sale,699999.0,3,1.5,1264.0,40.6382662,-74.1106676,1,0,4,1,129,24,1,1,531,8,0,8,0,16,Staten Island,10310,2790.0,2–3 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,120.0,55.3387983997714
House for sale,699999.0,3,1.5,1264.0,40.6382662,-74.1106676,1,0,4,1,133,24,1,1,531,8,0,8,0,17,Staten Island,10310,2790.0,2–3 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,120.0,55.3387983997714
House for sale,625000.0,3,2.5,1200.0,40.7100072,-73.7334876,16,0,1,4,195,27,0,0,921,12,0,0,2,47,Queens,11429,2600.0,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,105.0,45.17588226889556
House for sale,625000.0,3,2.5,1200.0,40.7100072,-73.7334876,16,0,1,4,192,27,0,0,921,12,0,0,2,47,Queens,11429,2600.0,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,105.0,45.17588226889556
Townhouse for sale,540000.0,4,3.5,1512.0,40.603245,-74.1713802,4,0,0,1,90,13,0,0,278,0,0,2,0,12,Staten Island,10314,1868.0,0–1 miles,4+ miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,4+ miles,4+ miles,2–3 miles,4+ miles,0–1 miles,122.0,69.5065204120069
House for sale,649000.0,3,2,950.0,40.6155793,-74.1361194,4,0,3,1,135,21,0,1,510,4,0,8,1,18,Staten Island,10314,4000.0,2–3 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,3–4 miles,0–1 miles,122.0,69.5065204120069
House for sale,649000.0,3,2,950.0,40.6155793,-74.1361194,4,0,3,1,139,21,0,1,510,4,0,8,1,19,Staten Island,10314,4000.0,2–3 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,3–4 miles,0–1 miles,122.0,69.5065204120069
House for sale,675000.0,3,1.5,1870.0,40.8517678,-73.8344538,26,0,26,2,129,93,0,0,726,29,1,1,4,38,Bronx,10461,2684.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,49.0,55.3387983997714
House for sale,699000.0,3,2.5,1450.0,40.5650025,-74.1376032,4,0,8,0,132,9,0,0,317,8,0,0,1,14,Staten Island,10306,2499.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,122.0,69.5065204120069
House for sale,699000.0,3,2.5,1450.0,40.5650025,-74.1376032,4,0,8,0,132,9,0,0,317,8,0,0,1,15,Staten Island,10306,2499.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,122.0,69.5065204120069
House for sale,439000.0,2,1.5,670.0,40.8579169,-73.7896274,8,0,7,0,38,14,0,0,236,7,1,1,2,9,Bronx,10464,1400.0,0–1 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,2–3 miles,1–2 miles,1–2 miles,3–4 miles,0–1 miles,45.0,62.766447838413015
Townhouse for sale,599000.0,6,3.5,3146.0,40.6275761,-73.9140054,21,0,27,2,106,81,1,0,1132,27,1,2,3,34,Brooklyn,11234,2200.0,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,1–2 miles,1–2 miles,2–3 miles,1–2 miles,0–1 miles,63.0,69.5065204120069
Foreclosure,134900.0,2,2,800.0,40.6189551,-74.1072045,1,0,6,1,170,19,1,1,606,8,0,8,0,21,Staten Island,10301,800.0,3–4 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,120.0,55.3387983997714
Foreclosure,134900.0,2,2,800.0,40.6189551,-74.1072045,1,0,6,1,174,19,1,1,606,8,0,8,0,23,Staten Island,10301,800.0,3–4 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,120.0,55.3387983997714
Contingent,749999.0,3,2.5,1768.0,40.5370508,-74.2187697,5,0,8,0,89,16,0,0,201,8,0,1,0,8,Staten Island,10309,2378.0,2–3 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,4+ miles,1–2 miles,123.0,85.32013501928847
Co-op for sale,799000.0,2,2.5,1622.0,40.7250575,-73.7586039,16,0,6,2,258,22,0,0,1180,17,0,0,2,64,Queens,11005,1622.0,1–2 miles,4+ miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,2–3 miles,0–1 miles,105.0,45.17588226889556
Townhouse for sale,2500000.0,4,2.5,4193.0,40.8309376,-73.9467509,34,0,68,4,556,206,4,1,1003,74,0,13,10,99,Manhattan,10031,1248.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,30.0,75.10102633709577
Condo for sale,379000.0,Studio,1,444.0,40.809643,-73.936802,31,0,73,5,919,214,4,1,1194,76,0,18,9,121,Manhattan,10037,2500.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,32.0,62.766447838413015
House for sale,1298888.0,3,2.5,1107.0,40.7735337,-73.7831962,12,2,1,1,253,22,0,0,712,9,0,1,5,37,Queens,11360,4695.0,0–1 miles,2–3 miles,2–3 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,109.0,35.425132161737395
House for sale,495000.0,2,1,722.0,40.5376803,-74.1526108,1,0,8,0,95,4,0,0,217,8,0,0,1,9,Staten Island,10312,4750.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,2–3 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,3–4 miles,0–1 miles,123.0,85.32013501928847
House for sale,395000.0,Studio,1,1384.0,40.6484996,-73.9285115,28,0,69,5,350,114,1,0,1665,71,0,4,4,80,Brooklyn,11203,3000.0,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,1–2 miles,2–3 miles,0–1 miles,67.0,45.17588226889556
Multi-family home for sale,6668000.0,6,7.5+,3020.0,40.695015,-73.9970887,22,0,116,24,2212,171,9,13,1203,125,1,32,13,172,Brooklyn,11201,3655.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,3–4 miles,0–1 miles,0–1 miles,0–1 miles,84.0,69.5065204120069
Multi-family home for sale,6668000.0,6,7.5+,3020.0,40.695015,-73.9970887,22,0,116,24,2211,171,9,13,1208,125,1,32,13,172,Brooklyn,11201,3655.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,3–4 miles,0–1 miles,0–1 miles,0–1 miles,84.0,69.5065204120069
Multi-family home for sale,1249888.0,Studio,1,2496.0,40.8305073,-73.8336128,21,0,22,3,100,65,0,0,595,22,1,1,6,25,Bronx,10465,5000.0,0–1 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,45.0,62.766447838413015
Townhouse for sale,650000.0,1,1,635.0,40.7829767,-73.9754311,12,2,89,12,2050,184,10,11,1386,97,0,24,23,162,Manhattan,10024,635.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Townhouse for sale,650000.0,1,1,635.0,40.7829767,-73.9754311,12,2,89,12,2052,184,10,11,1386,97,0,24,23,163,Manhattan,10024,635.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
House for sale,875000.0,3,2,2257.0,40.639587,-74.0967888,1,0,4,1,116,21,1,1,508,8,0,8,0,14,Staten Island,10301,7770.0,2–3 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,4+ miles,1–2 miles,120.0,55.3387983997714
